"Marca.temporal","X1.1..Estás.de.acuerdo.en.responder.la.siguiente.encuesta.de.cafetería.en.Constitución.","X7.1.Reside.en.Constitución.o.es.visitante","X2.1..Consumes.café.","X2.2..Si.respondió.que.NO..no.responda...Cada.cuánto.consumes.café.al.interior.de.tu.domicilio.","X2.4..Visitas.cafeterías.","X2.6..Si.respondió.que.NO..no.responda..Con.qué.frecuencia.visitas.una.cafetería.","X2.5..Si.respondió.que.NO..pase.a.la.siguiente.sección...Dónde.sueles.ir.cuando.visitas.una.cafetería.","X2.3..Si.respondió.que.NO..pase.a.la.siguiente...Qué.tipo.de.café.consumes.","X3.2..Qué.aspectos.valoras.más.al.elegir.una.cafetería.","X2.7..Cuánto.está.dispuesto.a.pagar.al.consumir.en.una.cafetería.","X6.1..Estás.de.acuerdo.con.que.la.producción.de.los.pasteles.de.Pan.Canela.se.realice.en.una.extensión.de.fábrica.","X6.2..Te.gustaría.que.ciertos.productos.se.hicieran.a.la.vista.del.cliente.","X6.3..Te.gustaría.que.Pan.Canela.amplíe.su.carta.en.opciones.saladas.","X6.4.Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore.","X6.5..Te.gustaría.que.existiera.una.sucursal.de.Pan.Canela.cerca.de.la.playa.","X6.6..Si.respondió.que.NO..pase.a.la.siguiente.sección...Qué.te.gustaría.encontrar.en.la.carta.de.la.nueva.sucursal.","X6.7..Qué.formato.de.atención.te.gustaría.en.esta.sucursal.","X.Participa.o.le.gustaría.participar.en.talleres.actividades.de.Pan.Canela.","X.Qué.taller.te.gustaría.que.realizara.Pan.Canela.","X7.2..Qué.edad.tienes.","X7.3..Cuál.es.tu.género.","X7.4..Cuál.es.tu.ingreso.mensual.aproximado.","X5.1..Conoces.a.Pan.Canela.","X5.2..Si.respondió.que.NO..pase.a.la.siguiente..En.el.último.mes..Cuántas.veces.visitó.a.Pan.Canela.","X.Cómo.conoció.Pan.Canela.","X4.1..Qué.lo.motiva.principalmente.a.visitar.una.cafetería.","X4.2..Qué.medio.usa.para.elegir.una.cafetería.","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Precio.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Calidad.del.producto.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Servicio.y.atención.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Ambiente.y.comodidad.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Ubicación.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Croissant.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Empanadas.Artesanales.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Ensaladas.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Opciones.libres.de.alergias.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Colaciones..","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Café..","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Repostería.","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Productos.salados.","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Jugos.bebidas.frías.","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Té.","Puntuación"
2025-10-23 13:09:57.796,"Sí","Visitante","Sí","1 vez por semana","Sí","1 vez a la semana","Cerca de mi hogar","Capuccino",NA,"$ 10.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.0","Femenino","Menos de $500.000","No",NA,NA,"Probar productos","Recomendaciones",NA,"Alto","Alto","Alto","Medio","Bajo",NA,NA,NA,NA,NA,"Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)","Consumo poco (1-2 veces)",0
2025-10-25 10:48:32.408,"Sí","Constitución","Sí","1 vez al mes","No",NA,NA,"Nescafé normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.0","Masculino","Prefiero no decirlo","No",NA,NA,"No vista","No visita",NA,"Muy Bajo","Muy Bajo","Muy Bajo","Muy Bajo","Muy Bajo",NA,NA,NA,NA,NA,"No consumo","No consumo","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo diariamente",0
2025-10-25 10:54:06.588,"Sí","Constitución","Sí","3 veces por semana","Sí","2 veces a la semana","Al centro","Espresso",NA,"Menos de $5.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.0","Masculino","Más de $2.000.000","No","No he ido nunca",NA,"Relajarse /disfrutar del ambiente","Cercanía o ubicación",NA,"Medio","Bajo","Medio","Bajo","Bajo",NA,NA,NA,NA,NA,"Consumo mucho (3-4 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)",0
2025-10-25 11:02:16.591,"Sí","Constitución","Sí","Todos los días","Sí","Todos los días","Al centro","Descafeinado",NA,"Menos de $5.000","No","Sí","Indiferente",NA,"Indiferente",NA,NA,NA,NA,"68.0","Masculino","Menos de $500.000","Sí","1 vez hace dos meses",NA,"Compartir con amigos/familia","Cercanía o ubicación",NA,"Medio","Muy alto","Muy alto","Muy alto","Muy alto",NA,NA,NA,NA,NA,"Consumo diariamente","Consumo mucho (3-4 veces)","Consumo poco (1-2 veces)","No consumo","Consumo diariamente",0
2025-10-25 11:19:20.753,"Sí","Constitución","Sí","2 veces por semana","No",NA,NA,"Espresso",NA,NA,"No","Sí","No",NA,"Indiferente",NA,NA,NA,NA,"39.0","Masculino","1.000.001 - $1.999.990","Sí","1 vez",NA,"Compartir con amigos/familia","Cercanía o ubicación",NA,"Alto","Muy alto","Medio","Bajo","Alto",NA,NA,NA,NA,NA,"Consumo poco (1-2 veces)","Consumo diariamente","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo diariamente",0
2025-10-25 11:26:45.696,"Sí","Constitución","Sí","Todos los días","Sí","1 vez a la semana","Al centro","Capuccino",NA,"$ 10.000","Sí","Sí","Sí",NA,"Sí","Bebidas frías (Frappés, smoothies, jugos naturales)","Servicio con mesas dentro y fuera del local",NA,NA,"26.0","Femenino","$500.001 - $800.000","Sí","3 veces",NA,"Compartir con amigos/familia","Redes sociales",NA,"Medio","Alto","Alto","Alto","Bajo","Me interesa","Me interesa","No me interesa","No me interesa","No me interesa","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)",0
2025-10-25 11:30:13.203,"Sí","Visitante","Sí","No","No",NA,NA,"Capuccino",NA,"Menos de $5.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.0","Masculino","1.000.001 - $1.999.990","No",NA,NA,"Compartir con amigos/familia","Redes sociales",NA,"Alto","Alto","Alto","Alto","Alto",NA,NA,NA,NA,NA,"Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo diariamente","Consumo diariamente","Consumo diariamente",0
2025-10-25 11:32:46.804,"Sí","Constitución","Sí","Todos los días","Sí","1 vez a la semana","Al centro","Descafeinado",NA,"Más de $20.000","Sí","Sí","Sí",NA,"Indiferente",NA,NA,NA,NA,"30.0","Masculino","Menos de $500.000","Sí","1 vez",NA,"Probar productos","Recomendaciones",NA,"Medio","Medio","Medio","Medio","Alto","No me interesa","No me interesa","No me interesa","Me interesa","Me interesa","Consumo diariamente","No consumo","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo diariamente",0
2025-10-25 11:41:08.409,"Sí","Constitución","Sí","Todos los días","Sí","1 vez a la semana","Al centro","Moca",NA,"$ 15.000","Sí","Sí","Sí",NA,"Sí","Bebidas frías (Frappés, smoothies, jugos naturales)","Ambos formatos",NA,NA,"28.0","Femenino","$500.001 - $800.000","Sí","4 veces",NA,"Relajarse /disfrutar del ambiente","Redes sociales",NA,"Medio","Alto","Alto","Alto","Muy Bajo","Indiferente","Me interesa","Me interesa","No me interesa","Me interesa","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","No consumo",0
2025-10-25 11:42:38.553,"Sí","Constitución","Sí","1 vez por semana","Sí","1 vez a la semana","Al centro","Capuccino",NA,"$ 15.000","Sí","Sí","Sí",NA,"Sí","Bebidas frías (Frappés, smoothies, jugos naturales)","Servicio rápidos para llevar",NA,NA,"18.0","Femenino","Menos de $500.000","Sí","4 veces",NA,"Relajarse /disfrutar del ambiente","Redes sociales",NA,"Alto","Alto","Alto","Alto","Alto","Me interesa","Me interesa","Me interesa","Me interesa","Me interesa","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","Consumo poco (1-2 veces)",0
2025-10-25 11:43:51.858,"Sí","Constitución","Sí","Todos los días","Sí","3 veces a la semana","Al centro","Capuccino",NA,"$ 15.000","Sí","Sí","Indiferente",NA,"Sí","Bebidas frías (Frappés, smoothies, jugos naturales)","Ambos formatos",NA,NA,"40.0","Femenino","$500.001 - $800.000","Sí","6 veces",NA,"Compartir con amigos/familia","Recomendaciones",NA,"Muy Bajo","Alto","Alto","Alto","Bajo","Indiferente","No me interesa","No me interesa","Me interesa","No me interesa","Consumo diariamente","Consumo poco (1-2 veces)","No consumo","Consumo poco (1-2 veces)","Consumo diariamente",0
