edad,veces,esc,comuna,n_men5c,n_men15c,tiempo,pub,sex,c_pareja,dependency,sk_occ,ing_hog,vehiculo,numper_n,score1
60,5,12,13402,1,0,15,0,0,1,1,3,1.42,0,3,2.4639871
26,5,12,13108,1,0,60,1,0,0,3,2,1.635,1,4,1.7412165
49,5,17,13101,0,0,20,0,1,0,3,1,1.025583,0,1,2.4966855
33,5,17,13124,0,0,30,0,0,0,3,2,3.181417,0,3,1.4662199
59,6,9,13112,0,1,90,1,0,0,3,3,2.72,1,7,2.0008652
37,5,17,13120,1,0,40,1,0,1,3,1,3.602083,1,2,1.7004461
42,5,17,13501,0,0,60,0,0,1,3,1,2.646667,1,2,1.0840516
29,6,12,13106,0,0,60,1,1,1,3,4,.81475002,0,2,2.7890327
21,5,12,13110,0,1,60,1,0,1,3,2,1.1320831,0,3,3.0098562
33,5,17,13119,0,0,60,1,0,1,3,1,4.125,1,2,2.4251623
54,5,15,13122,0,0,40,1,1,1,3,1,5.9750009,1,4,1.6549324
42,5,8,13201,1,0,5,0,1,0,2,2,.67166698,1,3,2.94684
32,5,16,13605,1,0,90,1,1,1,3,2,1.360824,1,2,1.3182778
41,6,17,13107,0,0,30,0,0,1,1,1,2.5999999,1,3,1.4935879
27,5,16,13106,0,0,20,1,1,0,3,1,1.428334,1,4,1.7867303
40,6,12,13101,0,0,90,1,1,1,3,2,1.15,0,2,1.7867303
35,5,12,13106,0,1,60,0,0,1,3,1,1.105,1,2,2.6038573
43,6,12,13602,0,0,120,0,0,0,3,3,1.114171,1,2,2.137198
21,6,14,13122,0,0,30,0,0,0,3,3,1.5,1,4,2.8573792
23,5,14,13119,0,0,30,1,0,0,3,4,2.997292,1,4,1.9346724
40,10,12,13117,0,0,35,0,0,0,3,1,2.213362,1,3,1.0840516
24,5,12,13128,0,1,10,0,0,1,3,3,2.4287579,0,2,2.1681032
25,5,0,13124,1,0,30,1,0,1,3,4,.73367602,0,3,3.1268933
29,10,17,13120,0,0,10,0,1,0,3,1,1.151666,0,1,1.412634
61,5,8,13401,1,0,60,1,0,1,3,4,1.396667,0,4,3.1497264
24,6,12,13501,0,0,10,0,0,0,3,2,2.2966671,1,3,1.0840516
18,1,13,13122,0,0,20,0,0,0,3,2,2.311667,1,4,2.4023294
53,7,4,13112,0,0,5,0,1,1,2,2,1,1,2,4.2418499
30,6,5,13127,2,2,120,1,0,1,3,4,3.0339799,1,8,2.5457366
50,5,12,13127,0,0,25,1,0,0,3,2,.98533303,0,2,4.0531373
50,5,12,13201,0,0,120,1,0,1,3,3,1.316667,1,4,1.5605761
66,6,10,13112,0,0,15,1,0,1,3,4,.97299999,0,2,3.2521546
46,5,17,13604,0,2,45,0,1,0,3,1,1.940167,1,4,3.2521546
35,5,8,13110,0,0,10,0,0,0,3,4,.60833299,0,2,2.8345463
37,6,12,13109,0,0,60,1,0,0,3,4,.80000001,0,1,2.0201612
57,6,19,13120,0,0,40,1,0,1,3,1,3.955833,1,4,2.1373503
29,3,16,13106,1,1,5,0,1,1,2,3,1.399376,0,2,1.7004461
43,5,12,13603,0,2,120,0,0,1,3,3,1.419367,1,4,2.0201612
